#Table1
class,z,dered_r
GALAXY,0.3634873,
GALAXY,0.1221189,16.02856
GALAXY,0.124128,17.7629
GALAXY,0.1241094,17.7629
GALAXY,0.1224185,16.60842
QSO,2.563871,19.2196
GALAXY,0.1608769,17.33367
GALAXY,0.1223529,16.60842
GALAXY,0.1232023,16.4537
GALAXY,0.1236259,18.07174
GALAXY,0.03617733,14.10491
GALAXY,0.03615803,14.10491
QSO,2.041215,
GALAXY,0.03037806,14.83873
GALAXY,0.1436527,17.28067
GALAXY,0.08010525,16.59114
GALAXY,0.03047678,16.06882
GALAXY,0.03516777,16.09795
GALAXY,0.08006686,16.59114
GALAXY,0.03516901,16.09795
GALAXY,0.1436463,17.28067
GALAXY,0.0303838,14.83873
GALAXY,0.4404989,19.29222
GALAXY,0.1222152,17.60369
GALAXY,0.03048641,16.06882
GALAXY,0.12362,18.07174
GALAXY,0.1434258,17.453
GALAXY,0.1434542,17.453
GALAXY,0.1442122,17.47507
GALAXY,0.01112301,16.37049
GALAXY,0.1271269,16.59094
GALAXY,0.1445674,16.5218
